date,volume,high,low,adj_close,close,open
2020-01-31,55443,26.155,25.93,26,26,25.98
2020-01-30,55602,26.14,25.79,26.08,26.08,25.79
2020-01-29,39336,26.55,25.67,26.05,26.05,26.07
2020-01-28,54965,26.38,26,26.12,26.12,26.15
2020-01-27,37796,26.35,25.63,26.08,26.08,25.63
2020-01-24,35743,26.92,26,26.2,26.2,26.92
2020-01-23,58845,27.03,26.6,26.94,26.94,26.95
2020-01-22,40902,27.32,26.81,26.97,26.97,27.32
2020-01-21,32876,27.96,27.14,27.27,27.27,27.92
2020-01-17,41693,28.245,27.63,27.96,27.96,28.08
2020-01-16,77793,28,27.14,27.91,27.91,27.18
2020-01-15,63252,27.39,26.72,26.9,26.9,26.77
2020-01-14,57970,27.07,26.33,26.79,26.79,26.5
2020-01-13,51150,26.67,25.94,26.63,26.63,26.1
2020-01-10,69570,26.23,25.89,26.1,26.1,26.07
2020-01-09,85735,26.23,25.76,26,26,25.94
2020-01-08,61347,26.02,25.6,25.8,25.8,25.97
2020-01-07,70643,26.83,25.81,25.92,25.92,26.52
2020-01-06,75876,26.69,25.98,26.67,26.67,26.35
2020-01-03,91429,26.61,25.865,26.56,26.56,26.11
2020-01-02,102861,26.82,25.55,26.37,26.37,26.57
