date,volume,high,low,adj_close,close,open
2020-01-31,63100,1.65,1.57,1.585,1.585,1.6
2020-01-30,49677,1.66,1.6,1.62,1.62,1.65
2020-01-29,39057,1.675,1.63,1.65,1.65,1.66
2020-01-28,58312,1.66,1.6,1.66,1.66,1.62
2020-01-27,61536,1.66,1.61,1.61,1.61,1.63
2020-01-24,178014,1.7,1.61,1.7,1.7,1.68
2020-01-23,70432,1.73,1.65,1.65,1.65,1.69
2020-01-22,237884,1.75,1.6764,1.72,1.72,1.7
2020-01-21,96219,1.7794,1.65,1.7,1.7,1.73
2020-01-17,94040,1.7699,1.67,1.71,1.71,1.75
2020-01-16,58634,1.73,1.67,1.73,1.73,1.68
2020-01-15,46603,1.73,1.6684,1.68,1.68,1.71
2020-01-14,101177,1.7539,1.61,1.71,1.71,1.64
2020-01-13,37699,1.65,1.62,1.65,1.65,1.65
2020-01-10,121588,1.71,1.62,1.645,1.645,1.69
2020-01-09,29597,1.69,1.6583,1.68,1.68,1.67
2020-01-08,69731,1.7,1.6001,1.67,1.67,1.66
2020-01-07,359172,1.77,1.5501,1.68,1.68,1.73
2020-01-06,110830,1.8142,1.71,1.73,1.73,1.8
2020-01-03,150598,1.84,1.75,1.8,1.8,1.84
2020-01-02,643268,1.93,1.69,1.85,1.85,1.69
