date,volume,high,low,adj_close,close,open
2020-01-31,152234,51.72,46.3,46.99,46.99,51.64
2020-01-30,160098,55.0699,49,51.83,51.83,53.09
2020-01-29,103332,56.8,51.68,51.91,51.91,55.22
2020-01-28,122280,57.1,53.01,55,55,54.82
2020-01-27,115687,58.53,53.853,54.6,54.6,55.66
2020-01-24,88673,60.6,55.0459,57,57,59.39
2020-01-23,138949,59.25,54.8404,58.88,58.88,56.22
2020-01-22,102252,59.06,55.8,56.75,56.75,58.45
2020-01-21,125008,61.8557,57.41,58.32,58.32,58.5
2020-01-17,114440,65.0295,56.9412,58.64,58.64,63.29
2020-01-16,164100,65.13,58.919,62.62,62.62,59.49
2020-01-15,211483,60.58,50.5,58.84,58.84,51.95
2020-01-14,161067,53.28,49.3238,51.41,51.41,49.35
2020-01-13,193792,52.5,47.6577,49.16,49.16,48.81
2020-01-10,173067,51.37,47.6,48.84,48.84,48.5
2020-01-09,291102,48.7947,42.175,47.9,47.9,43.1
2020-01-08,227547,44.48,39.1,43.14,43.14,42.66
2020-01-07,233127,43.273,39.62,42.65,42.65,43.08
2020-01-06,197517,49.0526,43.26,43.88,43.88,47.2
2020-01-03,122050,54.432,46.795,48.5,48.5,52.05
2020-01-02,423518,57.01,52.63,53.25,53.25,55.89
