date,volume,high,low,adj_close,close,open
2020-01-31,112096,21.115,20.935,21.01,21.01,21.05
2020-01-30,75120,21.2,21.06,21.13,21.13,21.16
2020-01-29,61640,21.35,21.17,21.21,21.21,21.17
2020-01-28,101782,21.4287,21.11,21.2,21.2,21.26
2020-01-27,87683,21.5091,21.2,21.24,21.24,21.45
2020-01-24,116576,21.71,21.41,21.445,21.445,21.57
2020-01-23,115135,21.61,21.47,21.52,21.52,21.55
2020-01-22,109028,21.7,21.5,21.55,21.55,21.58
2020-01-21,219346,21.63,21.3,21.5,21.5,21.31
2020-01-17,70190,21.26,21.14,21.19,21.19,21.14
2020-01-16,149057,21.3,21.02,21.14,21.14,21.02
2020-01-15,75515,20.97,20.8847,20.96,20.96,20.9
2020-01-14,81392,21,20.81,20.9,20.9,20.93
2020-01-13,129197,20.97,20.8,20.91,20.91,20.8
2020-01-10,66317,20.81,20.69,20.78,20.78,20.78
2020-01-09,79819,20.83,20.66,20.76,20.76,20.7
2020-01-08,76758,20.79,20.52,20.65,20.65,20.55
2020-01-07,117319,20.8,20.58,20.58,20.58,20.75
2020-01-06,93608,20.85,20.72,20.75,20.75,20.85
2020-01-03,121813,20.95,20.77,20.8,20.8,20.86
2020-01-02,153154,20.99,20.75,20.86,20.86,20.81
