date,volume,high,low,adj_close,close,open
2020-01-31,25299,44.56,43.69,43.75,43.75,44.52
2020-01-30,29824,44.73,43.81,44.73,44.73,43.82
2020-01-29,43572,44.67,44.02,44.02,44.02,44.54
2020-01-28,27731,45.33,44.53,44.64,44.64,45.08
2020-01-27,32288,45.2488,44.56,44.97,44.97,44.56
2020-01-24,32595,45.66,44.91,45.06,45.06,45.64
2020-01-23,31215,45.53,44.64,45.32,45.32,45.13
2020-01-22,33557,45.54,44.83,45.47,45.47,45.05
2020-01-21,24519,45.82,44.8171,45.04,45.04,45.82
2020-01-17,27057,46.39,45.78,45.85,45.85,46.39
2020-01-16,41008,46.205,45.64,46.1,46.1,45.64
2020-01-15,25948,45.72,45.255,45.38,45.38,45.72
2020-01-14,37064,46.17,45.68,45.78,45.78,46.02
2020-01-13,21791,46.26,45.66,46.21,46.21,45.93
2020-01-10,28472,46.045,45.63,45.81,45.81,45.89
2020-01-09,24917,46.31,45.89,46.04,46.04,46.14
2020-01-08,33293,46.2,45.45,46.14,46.14,45.47
2020-01-07,18978,45.82,45.43,45.51,45.51,45.82
2020-01-06,28595,46.16,45.43,46.11,46.11,45.92
2020-01-03,21757,46.4,45.85,46.33,46.33,46.24
2020-01-02,31316,46.87,46.16,46.59,46.59,46.87
