date,volume,high,low,adj_close,close,open
2020-01-31,546655,5.0175,4.57,4.94,4.94,5
2020-01-30,374362,5,4.71,4.96,4.96,4.92
2020-01-29,828463,5.2562,4.75,4.87,4.87,5.05
2020-01-28,1220897,5.8,4.62,4.71,4.71,5.75
2020-01-27,83784,4.56,4.43,4.49,4.49,4.55
2020-01-24,212020,4.72,4.49,4.61,4.61,4.71
2020-01-23,201824,4.73,4.45,4.68,4.68,4.6
2020-01-22,105549,4.675,4.56,4.61,4.61,4.59
2020-01-21,87916,4.65,4.53,4.55,4.55,4.53
2020-01-17,210191,4.725,4.515,4.58,4.58,4.7
2020-01-16,161885,4.69,4.54,4.65,4.65,4.57
2020-01-15,378975,4.56,4.36,4.53,4.53,4.36
2020-01-14,380382,4.38,4.15,4.36,4.36,4.15
2020-01-13,176209,4.135,3.94,4.13,4.13,3.99
2020-01-10,190213,4.04,3.83,3.97,3.97,3.96
2020-01-09,136999,4.0125,3.83,3.94,3.94,3.89
2020-01-08,72435,3.88,3.76,3.82,3.82,3.82
2020-01-07,62614,3.82,3.71,3.81,3.81,3.75
2020-01-06,168620,3.83,3.6,3.77,3.77,3.76
2020-01-03,107159,4.02,3.76,3.77,3.77,3.93
2020-01-02,146135,4.02,3.76,4,4,3.89
