date,volume,high,low,adj_close,close,open
2020-01-31,1705463,123.775,120.69,121.22,121.22,123.55
2020-01-30,1359760,123.4,121.62,122.54,122.54,122.44
2020-01-29,1380494,126.07,122.88,123.01,123.01,126.07
2020-01-28,1429581,127.19,125.21,125.55,125.55,126.55
2020-01-27,1121897,128.24,126.79,126.9,126.9,127.33
2020-01-24,1826050,129.26,126.76,128.26,128.26,128.44
2020-01-23,3558318,130.54,122.21,128.48,128.48,123.09
2020-01-22,1708078,119.62,118.02,119.23,119.23,118.02
2020-01-21,1401953,118.15,116.7,117.85,117.85,116.7
2020-01-17,922109,117.28,116.085,117.22,117.22,117.15
2020-01-16,755874,117.46,115.7,116.88,116.88,115.7
2020-01-15,868450,116.14,114.31,115.31,115.31,114.89
2020-01-14,851315,115.39,114.39,114.96,114.96,115
2020-01-13,1497738,115.505,113.44,115.14,115.14,114.21
2020-01-10,807541,114.8,113.46,113.74,113.74,114.63
2020-01-09,1544074,114.327,113.51,114.05,114.05,113.99
2020-01-08,1039183,114.025,112.61,113.76,113.76,112.63
2020-01-07,797630,113.43,112.22,112.41,112.41,112.51
2020-01-06,997340,113.055,111.32,113.01,113.01,111.32
2020-01-03,985075,111.97,110.36,111.82,111.82,110.57
2020-01-02,1254268,111.76,111.06,111.67,111.67,111.59
