date,volume,high,low,adj_close,close,open
2020-01-31,21801,2.52,2.43,2.43,2.43,2.5
2020-01-30,13846,2.56,2.38,2.45,2.45,2.38
2020-01-29,13560,2.42,2.38,2.42,2.42,2.4079
2020-01-28,3688,2.5058,2.4,2.4,2.4,2.4
2020-01-27,1640,2.47,2.4,2.4,2.4,2.4128
2020-01-24,951,2.4944,2.4,2.4,2.4,2.4944
2020-01-23,4282,2.5,2.43,2.5,2.5,2.5
2020-01-22,1988,2.51,2.46,2.5,2.5,2.46
2020-01-21,4382,2.58,2.5371,2.58,2.58,2.5371
2020-01-17,2014,2.59,2.5015,2.5312,2.5312,2.58
2020-01-16,15903,2.5807,2.48,2.5323,2.5323,2.5
2020-01-15,2540,2.5,2.48,2.48,2.48,2.4791
2020-01-14,137,2.49,2.45,2.45,2.45,2.44
2020-01-13,12056,2.5,2.43,2.4981,2.4981,2.44
2020-01-10,957,2.4,2.4,2.4,2.4,2.4
2020-01-09,347,2.4,2.4,2.4,2.4,2.4
2020-01-08,634,2.45,2.368,2.38,2.38,2.38
2020-01-07,913,2.45,2.3573,2.37,2.37,2.45
2020-01-06,13678,2.43,2.28,2.28,2.28,2.4
2020-01-03,1896,2.4,2.35,2.35,2.35,2.3849
