date,volume,high,low,adj_close,close,open
2020-01-31,405109,20.62,20.27,20.47,20.47,20.56
2020-01-30,318502,20.7,20.49,20.595,20.595,20.52
2020-01-29,211547,20.715,20.42,20.65,20.65,20.68
2020-01-28,216832,20.84,20.63,20.67,20.67,20.68
2020-01-27,226220,20.93,20.645,20.66,20.66,20.71
2020-01-24,267344,21.22,20.825,20.91,20.91,21.11
2020-01-23,235093,21.1954,20.87,21.12,21.12,20.97
2020-01-22,313280,21.27,20.95,21.05,21.05,20.99
2020-01-21,406863,21.43,20.87,20.925,20.925,21.35
2020-01-17,334873,21.5,21.195,21.35,21.35,21.49
2020-01-16,357792,21.46,21.095,21.36,21.36,21.12
2020-01-15,511081,21.24,20.64,21.14,21.14,20.64
2020-01-14,465426,20.7,20.43,20.7,20.7,20.46
2020-01-13,404956,20.63,20.35,20.41,20.41,20.47
2020-01-10,357169,20.6,20.315,20.44,20.44,20.47
2020-01-09,285373,20.94,20.45,20.48,20.48,20.56
2020-01-08,427043,20.66,20.17,20.48,20.48,20.18
2020-01-07,403700,20.355,20.19,20.245,20.245,20.3
2020-01-06,427686,20.55,20.05,20.33,20.33,20.09
2020-01-03,377376,20.17,19.73,20.14,20.14,19.79
2020-01-02,318221,20,19.73,19.99,19.99,19.94
