date,volume,high,low,adj_close,close,open
2020-01-31,21,36.01,34.3,36.01,36.01,33.55
2020-01-29,296,36.91,33.55,36.29,36.29,33.55
2020-01-28,8,35.3,35.3,35.3,35.3,40
2020-01-27,46,37.99,35.3,37.99,37.99,40
2020-01-24,128,39.14,36.14,39.14,39.14,40
2020-01-23,18,38.98,38.22,38.98,38.98,40
2020-01-22,868,40,36.4,36.4,36.4,40
2020-01-21,1137,41.5,35.32,37.86,37.86,41.5
2020-01-17,13,37.79,37.68,37.68,37.68,36.7782
2020-01-16,46,38,36.11,36.11,36.11,36.7782
2020-01-15,91,38,36,38,38,36.7782
2020-01-14,204,38.3,37,37,37,36.7782
2020-01-13,213,38.3,37,38.3,38.3,36.7782
2020-01-10,388,38.59,38.4,38.4,38.4,38.59
2020-01-09,956,37.06,36,37.06,37.06,37.06
2020-01-08,82,41,38.5,38.5,38.5,41.49
2020-01-07,286,41.49,36,41.49,41.49,41.49
2020-01-06,411,40.5,36,40.5,40.5,40.5
2020-01-03,95,39.49,36,39.49,39.49,36.26
2020-01-02,263,38,36.91,36.91,36.91,36.26
