date,volume,high,low,adj_close,close,open
2020-01-31,4336543,28.55,27.6,27.77,27.77,28.24
2020-01-30,5799447,28.41,27.96,28.375,28.375,28.01
2020-01-29,3714893,28.9,28.05,28.23,28.23,28.77
2020-01-28,3548567,28.975,28.565,28.93,28.93,28.63
2020-01-27,3191772,28.71,28.2,28.535,28.535,28.2
2020-01-24,5325151,28.72,28.23,28.645,28.645,28.7
2020-01-23,4959103,30,28.695,28.74,28.74,29.89
2020-01-22,2729085,30.5,30,30.09,30.09,30.1
2020-01-21,1181157,30.49,29.98,30.09,30.09,30.49
2020-01-17,1771730,30.72,30.4,30.48,30.48,30.58
2020-01-16,1944114,30.73,30.35,30.6,30.6,30.36
2020-01-15,1658266,30.32,29.78,30.29,30.29,29.78
2020-01-14,2792799,30.09,29.72,29.965,29.965,29.79
2020-01-13,2728568,30,29.57,29.81,29.81,29.87
2020-01-10,2671884,30.26,29.8,29.88,29.88,30.22
2020-01-09,2575449,30.51,29.98,30.24,30.24,30.21
2020-01-08,2840623,30.35,29.98,30.15,30.15,30.06
2020-01-07,1942499,30.47,29.75,29.99,29.99,29.84
2020-01-06,1273418,30.01,29.6,29.96,29.96,29.88
2020-01-03,1750837,30.22,29.785,30.015,30.015,29.85
2020-01-02,2286505,30.61,29.95,30.185,30.185,30.61
