date,volume,high,low,adj_close,close,open
2020-01-31,449038,78.441,77.39,78.09,78.09,78.38
2020-01-30,312636,78.43,77.34,78.41,78.41,77.91
2020-01-29,623830,78.84,78.18,78.21,78.21,78.22
2020-01-28,395234,78.48,77.5,78.41,78.41,77.67
2020-01-27,421771,78.02,77.05,77.37,77.37,77.22
2020-01-24,358976,78.96,78.08,78.36,78.36,78.83
2020-01-23,412675,79.04,78.41,78.99,78.99,78.57
2020-01-22,316274,79.365,78.64,78.73,78.73,78.81
2020-01-21,339953,78.98,78.27,78.54,78.54,78.96
2020-01-17,456495,79.38,78.47,78.61,78.61,78.98
2020-01-16,489075,79.16,78.549,78.94,78.94,78.76
2020-01-15,775832,79.405,77.925,78.4,78.4,77.95
2020-01-14,943954,78.84,77.73,78.01,78.01,78.14
2020-01-13,555140,78.27,77.09,78.18,78.18,77.48
2020-01-10,875814,78.1,76.56,77.33,77.33,77
2020-01-09,709424,77.43,75.975,76.99,76.99,76.04
2020-01-08,469897,76.03,75,75.85,75.85,75.21
2020-01-07,452807,76.07,75.27,75.31,75.31,75.69
2020-01-06,508016,76.57,75.65,76.11,76.11,76.44
2020-01-03,457257,76.725,75.5001,76.67,76.67,75.96
2020-01-02,531097,76.49,75.22,76.46,76.46,75.53
