date,volume,high,low,adj_close,close,open
2020-01-31,543319,23.92,22.5341,23.16,23.16,23.51
2020-01-30,1452342,25.2624,21.89,23.28,23.28,24.67
2020-01-29,3516518,26.94,24.66,24.98,24.98,24.8
2020-01-28,1294604,28.15,24.75,24.84,24.84,27.82
2020-01-27,2658323,30.3545,24.84,27.98,27.98,25
2020-01-24,904361,25.43,24.23,24.65,24.65,25
2020-01-23,1481378,25.28,23.235,24.9,24.9,23.4
2020-01-22,634567,23.61,21.81,23.4,23.4,22.18
2020-01-21,489512,22.32,21.09,22.01,22.01,22.12
2020-01-17,654041,22.72,21.92,22.36,22.36,22.13
2020-01-16,780957,22.17,20.52,22.11,22.11,20.93
2020-01-15,1130447,23.21,20.32,20.585,20.585,22.55
2020-01-14,2566636,22.92,18.91,22.74,22.74,20.9
2020-01-13,218815,19,17.5,17.58,17.58,18.79
2020-01-10,355268,19.39,18.62,18.69,18.69,19.29
2020-01-09,253464,19.61,19.02,19.13,19.13,19.4
2020-01-08,434603,19.47,18.72,19.26,19.26,18.8
2020-01-07,547968,18.88,17.23,18.8,18.8,17.23
2020-01-06,283850,17.355,16.03,17.29,17.29,16.12
2020-01-03,239862,16.32,16.025,16.15,16.15,16.15
2020-01-02,231898,17.56,16.12,16.39,16.39,17.56
