date,volume,high,low,adj_close,close,open
2020-01-31,2330,13.9,13,13.18,13.18,13.17
2020-01-30,4367,13.7,13.01,13.4,13.4,13.35
2020-01-29,702,13.44,13.27,13.27,13.27,13.77
2020-01-28,3405,14.05,13.22,13.4337,13.4337,13.77
2020-01-27,9925,15.2565,13.1,13.1,13.1,14.55
2020-01-24,3287,15.1657,14.5,14.61,14.61,14.97
2020-01-23,1756,15.4,14.8,14.8,14.8,15.37
2020-01-22,2813,15.68,14.76,15.09,15.09,15.24
2020-01-21,5934,15.29,14.3927,15.26,15.26,14.46
2020-01-17,5978,15.5,14.4452,14.9,14.9,15.5
2020-01-16,2769,16.07,14.387,15.3,15.3,16.07
2020-01-15,3416,15.2,14.39,15.2,15.2,14.39
2020-01-13,6807,15.03,14.3835,14.83,14.83,14.3835
2020-01-10,443,15.02,15.02,15.02,15.02,15.02
2020-01-09,1759,15.5,15.03,15.03,15.03,15.5
2020-01-08,2230,15.5,14.99,15,15,15.5
2020-01-07,15856,16.5,14.88,15.2,15.2,16.5
2020-01-06,15743,16.6,14.8,16.6,16.6,15.35
2020-01-03,1506,16.38,15.56,15.56,15.56,16.38
2020-01-02,10886,16.5463,14.9595,16.4,16.4,14.9595
