date,volume,high,low,adj_close,close,open
2020-01-31,93148,19.34,19.22,19.335,19.335,19.3399
2020-01-30,780,19.5551,19.4401,19.5551,19.5551,19.4413
2020-01-29,10160,19.6399,19.585,19.585,19.585,19.5645
2020-01-28,608,19.636,19.5645,19.636,19.636,19.5645
2020-01-27,641,19.51,19.453,19.453,19.453,19.465
2020-01-24,4913,19.78,19.74,19.741,19.741,19.75
2020-01-23,1466,20.0002,19.8497,19.9844,19.9844,19.85
2020-01-22,1650,20.0183,19.9465,19.9799,19.9799,20.0183
2020-01-21,6475,20.035,19.93,19.93,19.93,20
2020-01-17,1664,20.13,20.0622,20.0888,20.0888,20.13
2020-01-16,719,20.04,20.0104,20.0376,20.0376,20.0104
2020-01-15,3150,19.7947,19.7576,19.7947,19.7947,19.7914
2020-01-14,2023,19.91,19.8031,19.8031,19.8031,19.91
2020-01-13,6211,19.8149,19.72,19.8149,19.8149,19.72
2020-01-10,2167,19.79,19.69,19.6969,19.6969,19.69
2020-01-09,150,19.7118,19.7068,19.7118,19.7118,19.7068
2020-01-08,10,19.5777,19.48,19.5777,19.5777,19.61
2020-01-07,1931,19.61,19.53,19.5308,19.5308,19.4
2020-01-06,742,19.5364,19.4,19.5364,19.5364,19.4
2020-01-03,4633,19.6417,19.54,19.6004,19.6004,19.56
2020-01-02,870,19.7538,19.6651,19.7538,19.7538,19.7158
