date,volume,high,low,adj_close,close,open
2020-01-31,202582,23.6001,23.35,23.4094,23.4094,23.61
2020-01-30,4247,23.5982,23.29,23.5982,23.5982,23.29
2020-01-29,13030,23.45,23.35,23.405,23.405,23.37
2020-01-28,22288,23.42,23.31,23.3712,23.3712,23.31
2020-01-27,4922,23.29,23.2,23.2349,23.2349,23.2477
2020-01-24,17989,23.3797,23.24,23.2647,23.2647,23.3299
2020-01-23,17942,23.32,23.1173,23.32,23.32,23.12
2020-01-22,4375,23.23,23.1077,23.1077,23.1077,23.23
2020-01-21,14401,23.1,22.98,23.0925,23.0925,22.98
2020-01-17,7738,22.9999,22.89,22.9801,22.9801,22.9252
2020-01-16,6334,22.87,22.732,22.865,22.865,22.732
2020-01-15,32964,22.745,22.61,22.682,22.682,22.64
2020-01-14,22777,22.5,22.37,22.478,22.478,22.5
2020-01-13,21995,22.4779,22.26,22.4661,22.4661,22.3166
2020-01-10,34689,22.2993,22.19,22.2766,22.2766,22.2
2020-01-09,9810,22.2,22.06,22.1799,22.1799,22.03
2020-01-08,135754,22.1461,22.04,22.0841,22.0841,22.06
2020-01-07,18052,22.14,22.036,22.0755,22.0755,22.14
2020-01-06,18756,22.225,22.08,22.1906,22.1906,22.08
2020-01-03,19955,22.2071,22.06,22.1684,22.1684,22.06
2020-01-02,116237,22.2503,21.96,22.055,22.055,22.24
