date,volume,high,low,adj_close,close,open
2020-01-31,12110,25.01,24.6646,24.74,24.74,24.8
2020-01-30,74357,25,24.752,24.995,24.995,24.91
2020-01-29,40891,25.36,25.22,25.275,25.275,25.35
2020-01-28,23507,25.3,24.92,25.2625,25.2625,24.92
2020-01-27,39302,25,24.492,24.845,24.845,24.65
2020-01-24,20265,25.94,25.455,25.53,25.53,25.94
2020-01-23,41819,25.94,25.69,25.9044,25.9044,25.89
2020-01-22,22807,26.28,26.09,26.135,26.135,26.17
2020-01-21,47134,26.08,25.9,25.9669,25.9669,26.02
2020-01-17,17948,26.39,26.14,26.2454,26.2454,26.37
2020-01-16,10571,26.269,26.171,26.2371,26.2371,26.25
2020-01-15,19359,26.17,25.9828,26.0576,26.0576,25.9828
2020-01-14,80632,26.31,26.0235,26.0806,26.0806,26.08
2020-01-13,34369,26.1818,25.92,26.165,26.165,26.05
2020-01-10,34686,26.0854,25.89,25.93,25.93,26.05
2020-01-09,14639,26.09,25.94,26.0404,26.0404,26.0625
2020-01-08,54280,25.91,25.7,25.84,25.84,25.7
2020-01-07,45409,25.87,25.6,25.8188,25.8188,25.68
2020-01-06,24722,25.62,25.37,25.59,25.59,25.37
2020-01-03,51353,25.71,25.36,25.535,25.535,25.36
2020-01-02,30984,25.72,25.32,25.6913,25.6913,25.32
