date,volume,high,low,adj_close,close,open
2020-01-31,53169,36,34.51,34.67,34.67,35.75
2020-01-30,48438,36.29,35.5,36.15,36.15,35.71
2020-01-29,141109,36.87,36.14,36.19,36.19,36.43
2020-01-28,34236,36.935,36.01,36.42,36.42,36.36
2020-01-27,52409,36.535,34.74,36.06,36.06,35.45
2020-01-24,18832,37.84,36.58,36.96,36.96,37.58
2020-01-23,45866,38.015,36.26,37.74,37.74,37.35
2020-01-22,27774,38.87,37.58,37.58,37.58,38.87
2020-01-21,51501,39.05,38.2497,38.57,38.57,39.05
2020-01-17,37108,40,39.13,39.25,39.25,39.55
2020-01-16,44728,39.51,38.5,39.2,39.2,38.52
2020-01-15,35852,38.63,37.82,38.33,38.33,38.26
2020-01-14,36947,39.4,38.51,38.54,38.54,38.68
2020-01-13,34697,39.22,38.475,38.84,38.84,38.61
2020-01-10,37711,39.71,38.54,38.64,38.64,39.35
2020-01-09,37269,39.96,39.005,39.4,39.4,39.36
2020-01-08,47780,39.875,38.4901,39.21,39.21,38.84
2020-01-07,50547,39.14,38.46,38.69,38.69,39.07
2020-01-06,41191,39.77,38.735,39.28,39.28,39.15
2020-01-03,43934,39.65,38.71,39.55,39.55,39.17
2020-01-02,26645,40.2,38.91,39.81,39.81,40.2
