date,volume,high,low,adj_close,close,open
2020-01-31,289,18.7,18.35,18.35,18.35,18.66
2020-01-30,881,18.7522,18.5644,18.7522,18.7522,18.66
2020-01-29,913,19.02,18.9,18.91,18.91,18.9001
2020-01-28,311,18.9464,18.76,18.9401,18.9401,18.9464
2020-01-27,7901,18.73,18.23,18.6345,18.6345,18.52
2020-01-24,1543,19.44,19.05,19.09,19.09,19.2605
2020-01-23,655,19.355,19.1703,19.355,19.355,19.1703
2020-01-22,775,19.6422,19.475,19.475,19.475,19.6422
2020-01-21,2694,19.5,19.42,19.4753,19.4753,19.44
2020-01-17,1208,19.675,19.63,19.675,19.675,19.6249
2020-01-16,447,19.61,19.6,19.6089,19.6089,19.6
2020-01-15,2411,19.56,19.44,19.4602,19.4602,19.56
2020-01-14,6246,19.51,19.427,19.475,19.475,19.51
2020-01-13,3224,19.5335,19.32,19.5125,19.5125,19.32
2020-01-10,2131,19.27,19.1665,19.19,19.19,19.27
2020-01-09,2583,19.1616,19.06,19.1616,19.1616,19.1201
2020-01-08,1591,19.15,18.99,19.04,19.04,18.99
2020-01-07,696,18.97,18.81,18.97,18.97,18.81
2020-01-06,5824,18.7803,18.71,18.7803,18.7803,18.71
2020-01-03,1703,18.7949,18.65,18.7949,18.7949,18.69
2020-01-02,1954,18.88,18.57,18.88,18.88,18.57
