date,volume,high,low,adj_close,close,open
2020-01-31,277415,20.29,19.31,19.38,19.38,20.19
2020-01-30,192863,20.76,20.03,20.375,20.375,20.72
2020-01-29,391203,21.76,20.94,20.98,20.98,21.52
2020-01-28,166454,21.62,21.16,21.55,21.55,21.16
2020-01-27,225016,21.23,20.72,21.01,21.01,20.91
2020-01-24,165019,22.245,21.28,21.445,21.445,22.2
2020-01-23,199122,22.79,21.99,22.22,22.22,22.7
2020-01-22,213807,23.07,22.43,22.74,22.74,22.78
2020-01-21,217585,23.29,22.57,22.6,22.6,23.19
2020-01-17,251773,23.32,22.875,23.28,23.28,23.2
2020-01-16,344758,23.3,22.755,23.1,23.1,22.78
2020-01-15,309614,23.03,22.38,22.56,22.56,22.84
2020-01-14,205397,21.85,21.45,21.76,21.76,21.45
2020-01-13,165010,21.59,20.84,21.55,21.55,20.84
2020-01-10,95850,21.08,20.67,20.94,20.94,20.86
2020-01-09,202485,21.07,20.76,20.9,20.9,20.89
2020-01-08,169323,20.86,20.35,20.78,20.78,20.37
2020-01-07,168585,20.42,20.16,20.4,20.4,20.28
2020-01-06,130966,20.335,19.74,20.27,20.27,20.14
2020-01-03,220157,20.4,19.9638,20.4,20.4,20.17
2020-01-02,221462,20.92,20.32,20.49,20.49,20.85
