date,volume,high,low,adj_close,close,open
2020-01-31,129035,54.28,53.415,54.01,54.01,54.14
2020-01-30,64891,54.74,54.035,54.37,54.37,54.41
2020-01-29,67822,55.31,54.51,54.71,54.71,55.12
2020-01-28,86124,55.26,54.4,55.12,55.12,54.84
2020-01-27,68827,55.27,53.91,54.73,54.73,53.91
2020-01-24,55037,55.23,54.38,54.545,54.545,55.23
2020-01-23,98959,55.49,54.79,55,55,55.49
2020-01-22,71574,55.77,55.075,55.48,55.48,55.32
2020-01-21,72689,55.68,54.6942,55.11,55.11,55.22
2020-01-17,161971,56.27,54.39,55.44,55.44,55.09
2020-01-16,329869,54.9,53.56,54.78,54.78,54.24
2020-01-15,142833,54.84,53.43,53.78,53.78,54.25
2020-01-14,135813,55.905,54.04,54.23,54.23,55.5
2020-01-13,101046,55.99,55.24,55.47,55.47,55.68
2020-01-10,117518,55.89,55.025,55.65,55.65,55.73
2020-01-09,154612,56.475,55.63,55.73,55.73,56.15
2020-01-08,182065,56.61,55.74,56.06,56.06,56.5
2020-01-07,140237,57.32,55.84,56.51,56.51,56.85
2020-01-06,125044,57.395,56.37,57.23,57.23,56.88
2020-01-03,148520,57.57,56.56,57.29,57.29,56.85
2020-01-02,142664,58.36,56.414,57.04,57.04,58.03
