date,volume,high,low,adj_close,close,open
2020-01-31,389890,164.24,157.03,157.64,157.64,161.85
2020-01-30,238680,162.91,159.75,161.89,161.89,161.68
2020-01-29,189513,164.74,162.94,163.05,163.05,164.74
2020-01-28,231847,165.14,162.46,163.93,163.93,163.76
2020-01-27,269681,163.2,159.204,162.98,162.98,160.71
2020-01-24,326592,167.32,162.22,163.09,163.09,166.54
2020-01-23,225487,167.64,165.21,166.66,166.66,167.64
2020-01-22,278297,167.4,163.25,167.26,167.26,164.69
2020-01-21,243333,166.65,163.1,164,164,163.17
2020-01-17,244528,164.53,162.23,164.31,164.31,163.23
2020-01-16,189615,163.72,162.42,162.8,162.8,163.55
2020-01-15,179258,164.5,162.39,163.12,163.12,162.39
2020-01-14,325159,163.43,161.29,162.23,162.23,163.43
2020-01-13,459857,164.4,158.336,163.47,163.47,162.25
2020-01-10,328504,162.44,160.18,161.99,161.99,161.75
2020-01-09,361072,161.39,158.01,161.3,161.3,158.89
2020-01-08,924581,159.825,157.66,158.12,158.12,158.37
2020-01-07,553524,158.56,156.9,157.48,157.48,158.36
2020-01-06,324955,158.57,156.785,158.36,158.36,156.89
2020-01-03,193186,158.75,157.44,158.3,158.3,157.44
2020-01-02,260482,159.13,157.52,158.65,158.65,157.85
