date,volume,high,low,adj_close,close,open
2020-01-31,1604,32,31.45,31.45,31.45,32
2020-01-30,479,31.75,31.45,31.45,31.45,32.5824
2020-01-29,3329,32.55,31.8003,32.13,32.13,32.55
2020-01-28,103,32.5823,32.5823,32.5823,32.5823,32.5823
2020-01-27,252,31.81,31.58,31.58,31.58,31.58
2020-01-23,566,32.5485,32.3,32.33,32.33,32.5485
2020-01-22,160,33,33,33,33,33
2020-01-21,448,32.83,32.7147,32.7147,32.7147,32.83
2020-01-17,2507,32.95,32.15,32.15,32.15,32.35
2020-01-16,308,32.57,32.43,32.57,32.57,33.0109
2020-01-15,39,32.33,32.33,32.33,32.33,33.0109
2020-01-14,232,33.0109,32.57,32.57,32.57,33.0109
2020-01-13,699,33.89,32.99,33.89,33.89,32.9973
2020-01-09,383,33,32.3123,33,33,32.3123
2020-01-08,6,33.86,32.4578,33.83,33.83,32.4578
2020-01-06,156,33.86,32.4578,33.86,33.86,32.4578
2020-01-03,3106,33.075,32.1501,33.075,33.075,32.1501
2020-01-02,453,33.5,33.5,33.5,33.5,33.5
