date,volume,high,low,adj_close,close,open
2020-01-31,3015736,5.7,5.465,5.67,5.67,5.59
2020-01-30,6551220,5.97,5.52,5.64,5.64,5.88
2020-01-29,4514328,6.01,5.62,5.9,5.9,5.62
2020-01-28,4339630,6.01,5.58,5.65,5.65,5.9
2020-01-27,3813994,5.9698,5.55,5.82,5.82,5.61
2020-01-24,1.037643e+07,6.66,5.87,5.92,5.92,6.66
2020-01-23,6062893,6.725,6.17,6.595,6.595,6.26
2020-01-22,4370643,6.5,6.18,6.32,6.32,6.4
2020-01-21,1.09759e+07,6.54,5.96,6.38,6.38,6.05
2020-01-17,6994756,6.3,5.92,6.04,6.04,6.19
2020-01-16,1.15598e+07,6.325,5.85,6.18,6.18,5.94
2020-01-15,1.258186e+07,6.12,5.42,5.87,5.87,5.45
2020-01-14,1.127537e+07,5.49,4.64,5.47,5.47,4.7
2020-01-13,6649442,4.765,4.35,4.74,4.74,4.55
2020-01-10,5772174,4.64,4.35,4.55,4.55,4.4
2020-01-09,4673723,4.5,4.34,4.41,4.41,4.39
2020-01-08,5642997,4.58,4.32,4.36,4.36,4.55
2020-01-07,3813999,4.68,4.5,4.6,4.6,4.59
2020-01-06,3841926,4.695,4.5,4.61,4.61,4.62
2020-01-03,7937644,4.85,4.505,4.685,4.685,4.73
2020-01-02,5850692,4.69,4.38,4.5,4.5,4.66
