date,volume,high,low,adj_close,close,open
2020-01-31,381025,10.24,9.65,10.23,10.23,10.01
2020-01-30,316713,10.13,9.8293,10.06,10.06,9.92
2020-01-29,372421,10.15,9.86,10,10,9.97
2020-01-28,627832,10.39,9.78,9.94,9.94,10.27
2020-01-27,563884,10.41,9.64,10.2,10.2,9.67
2020-01-24,568899,10.42,9.67,9.83,9.83,10.2
2020-01-23,823499,10.29,9.62,10.19,10.19,10.11
2020-01-22,1448433,11.0592,10,10.1,10.1,11
2020-01-21,363589,11.39,11.06,11.16,11.16,11.27
2020-01-17,674680,11.73,11.14,11.29,11.29,11.28
2020-01-16,422982,11.24,10.85,11.17,11.17,10.89
2020-01-15,469423,11.14,10.69,10.84,10.84,10.95
2020-01-14,878368,11.18,10.331,10.97,10.97,10.66
2020-01-13,871614,10.86,10.31,10.69,10.69,10.86
2020-01-10,1633146,11.63,10.8,10.86,10.86,11.63
2020-01-09,2615732,13.75,11.32,11.63,11.63,13.18
2020-01-08,667941,12.36,11.21,12.21,12.21,11.21
2020-01-07,630979,11.33,10.66,11.18,11.18,10.68
2020-01-06,488339,11.6792,11.05,11.33,11.33,11.62
2020-01-03,419079,12.11,11.55,11.57,11.57,11.82
2020-01-02,349832,12.26,11.6517,12.04,12.04,12.25
