date,volume,high,low,adj_close,close,open
2020-01-31,10787,3.15,2.9112,3.15,3.15,2.7401
2020-01-30,70932,3.08,2.9,3.08,3.08,2.9
2020-01-29,5387,3.09,2.88,2.91,2.91,2.94
2020-01-28,22354,2.98,2.8505,2.9,2.9,2.9
2020-01-27,28445,3.09,2.8,3.06,3.06,3.09
2020-01-24,11425,3.03,2.925,2.99,2.99,2.99
2020-01-23,53862,3.01,2.99,2.99,2.99,3.015
2020-01-21,7758,3.05,3.01,3.01,3.01,3.01
2020-01-17,437,3.0125,3.0125,3.0125,3.0125,3.0125
2020-01-16,515,2.98,2.93,3.1,3.1,3.1
2020-01-15,3701,2.98,2.93,2.98,2.98,2.98
2020-01-13,14901,3.15,3.1,3.15,3.15,3.1758
2020-01-10,7284,3.24,3.1,3.24,3.24,3.15
2020-01-09,13735,3.3,3.11,3.12,3.12,3.11
2020-01-08,8184,3.29,3.16,3.21,3.21,3.23
2020-01-07,6409,3.35,3.3,3.3,3.3,3.35
2020-01-06,23020,3.5,3.29,3.29,3.29,3.48
2020-01-03,20390,3.5,3.29,3.5,3.5,3.29
2020-01-02,2283,3.3,3.29,3.3,3.3,3.29
