date,volume,high,low,adj_close,close,open
2020-01-31,2404,78.42,76.84,77.0806,77.0806,78.42
2020-01-30,7976,77.81,77.5075,78.2514,78.2514,77.53
2020-01-29,2589,78.53,77.9904,77.9904,77.9904,78.53
2020-01-28,3124,78.1741,77.5358,78.1043,78.1043,77.5358
2020-01-27,2922,77.47,77.07,77.2344,77.2344,77.07
2020-01-24,5614,79.04,78.9703,78.4354,78.4354,79.43
2020-01-23,5614,79.04,78.9703,79.1005,79.1005,79.14
2020-01-22,5614,79.04,78.9703,79.1322,79.1322,79.289
2020-01-21,5614,79.04,78.9703,78.9288,78.9288,78.97
2020-01-17,5614,79.1037,78.9638,79.1037,79.1037,79.04
2020-01-16,4899,78.8276,78.5621,78.8276,78.8276,78.5621
2020-01-15,1957,78.4612,78.19,78.1941,78.1941,78.27
2020-01-14,1984,78.44,78.1743,78.1743,78.1743,78.3
2020-01-13,916,78.25,77.9232,78.25,78.25,77.9232
2020-01-10,3593,78.13,77.745,77.745,77.745,78.13
2020-01-09,1811,77.99,77.88,77.9399,77.9399,77.96
2020-01-08,926,77.59,77.18,77.4224,77.4224,77.18
2020-01-07,2787,77.16,77.0239,77.0239,77.0239,77.11
2020-01-06,3168,77.2821,76.45,77.2821,77.2821,76.45
2020-01-03,1223,77.31,77.07,77.0975,77.0975,77.07
2020-01-02,2528,77.4983,77.2025,77.6234,77.6234,77.37
