date,volume,high,low,adj_close,close,open
2020-01-31,24050,6.73,6.4228,6.45,6.45,6.45
2020-01-30,52965,7.04,6.3001,6.4,6.4,7.04
2020-01-29,86108,7.19,6.6,7.04,7.04,6.6
2020-01-28,95707,6.75,6.3,6.59,6.59,6.35
2020-01-27,9314,6.77,5.71,6.19,6.19,5.71
2020-01-24,24487,5.9,5.7798,5.79,5.79,5.88
2020-01-23,35723,6.3,5.62,5.87,5.87,6.22
2020-01-22,30605,6.68,6.1,6.25,6.25,6.68
2020-01-21,82251,6.76,6.32,6.58,6.58,6.71
2020-01-17,73390,6.67,6.09,6.45,6.45,6.09
2020-01-16,131969,6.1,5.2203,6.07,6.07,5.41
2020-01-15,55372,5.35,4.65,5.35,5.35,4.8724
2020-01-14,11389,4.82,4.57,4.62,4.62,4.57
2020-01-13,22848,4.8082,4.46,4.5,4.5,4.53
2020-01-10,43124,4.967,4.61,4.7,4.7,4.79
2020-01-09,268271,5.49,4.36,4.7,4.7,4.36
2020-01-08,22865,4.56,4.2814,4.37,4.37,4.31
2020-01-07,7395,4.5,4.34,4.5,4.5,4.49
2020-01-06,25634,4.48,4.31,4.4,4.4,4.4
2020-01-03,9567,4.58,4.41,4.43,4.43,4.58
2020-01-02,25210,4.63,4.35,4.57,4.57,4.63
