date,volume,high,low,adj_close,close,open
2020-01-31,3178870,6.1,5.85,5.9,5.9,6.05
2020-01-30,2516921,6.45,6.0501,6.11,6.11,6.37
2020-01-29,4758567,7.18,6.35,6.35,6.35,6.5
2020-01-28,1647010,7.76,7.21,7.26,7.26,7.61
2020-01-27,1474948,7.66,7.38,7.61,7.61,7.48
2020-01-24,1820751,7.72,7.38,7.69,7.69,7.55
2020-01-23,902810,7.54,7.4,7.51,7.51,7.52
2020-01-22,1038525,7.6918,7.54,7.55,7.55,7.64
2020-01-21,1307417,7.83,7.57,7.59,7.59,7.8
2020-01-17,945760,8,7.84,7.92,7.92,7.99
2020-01-16,1440306,7.95,7.74,7.92,7.92,7.75
2020-01-15,1305228,7.71,7.44,7.66,7.66,7.45
2020-01-14,1118904,7.58,7.38,7.51,7.51,7.43
2020-01-13,625704,7.44,7.27,7.42,7.42,7.32
2020-01-10,900989,7.46,7.24,7.28,7.28,7.36
2020-01-09,791525,7.45,7.285,7.37,7.37,7.45
2020-01-08,892306,7.51,7.295,7.39,7.39,7.34
2020-01-07,836365,7.345,7.19,7.32,7.32,7.23
2020-01-06,873054,7.33,7.1649,7.25,7.25,7.2
2020-01-03,987428,7.36,7.19,7.325,7.325,7.19
2020-01-02,1050839,7.55,7.275,7.34,7.34,7.46
