date,volume,high,low,adj_close,close,open
2020-01-31,69112,27.42,27.22,27.31,27.31,27.42
2020-01-30,80408,27.48,27.21,27.35,27.35,27.21
2020-01-29,56514,27.46,27.3203,27.37,27.37,27.35
2020-01-28,160788,27.37,27.2,27.365,27.365,27.37
2020-01-27,114493,27.24,27.02,27.07,27.07,27.05
2020-01-24,57068,27.45,27.35,27.38,27.38,27.43
2020-01-23,58640,27.52,27.3701,27.425,27.425,27.52
2020-01-22,51355,27.57,27.44,27.465,27.465,27.57
2020-01-21,77122,27.55,27.4601,27.475,27.475,27.55
2020-01-17,76087,27.48,27.41,27.47,27.47,27.41
2020-01-16,29604,27.47,27.42,27.455,27.455,27.43
2020-01-15,245463,27.445,27.39,27.4,27.4,27.41
2020-01-14,94064,27.41,27.37,27.405,27.405,27.37
2020-01-13,122081,27.45,27.36,27.3823,27.3823,27.44
2020-01-10,172239,27.46,27.34,27.395,27.395,27.46
2020-01-09,38477,27.38,27.25,27.3731,27.3731,27.32
2020-01-08,108030,27.34,27.2339,27.31,27.31,27.3
2020-01-07,36987,27.32,27.1948,27.265,27.265,27.32
2020-01-06,532872,27.3,27.21,27.2786,27.2786,27.28
2020-01-03,60861,27.32,27.19,27.27,27.27,27.19
2020-01-02,38114,27.25,27.16,27.25,27.25,27.16
