date,volume,high,low,adj_close,close,open
2020-01-31,98403,12.09,11.76,11.98,11.98,11.88
2020-01-30,75417,11.96,11.82,11.93,11.93,11.9
2020-01-29,54021,12.06,11.9,11.99,11.99,12.06
2020-01-28,75735,12.38,11.74,12.03,12.03,12.38
2020-01-27,53554,12.58,11.9604,12.36,12.36,12.08
2020-01-24,46086,12.9,12.34,12.42,12.42,12.76
2020-01-23,48440,13.56,12.59,12.75,12.75,13.56
2020-01-22,116185,13.61,12.74,13.38,13.38,12.74
2020-01-21,93818,12.965,12.6868,12.81,12.81,12.83
2020-01-17,72103,12.78,12.575,12.76,12.76,12.75
2020-01-16,95337,12.89,12.5,12.76,12.76,12.77
2020-01-15,41631,13.06,12.71,12.78,12.78,12.82
2020-01-14,56422,13.19,12.725,12.82,12.82,12.86
2020-01-13,43786,12.8365,12.66,12.8,12.8,12.69
2020-01-10,80001,13.13,12.5,12.64,12.64,13.13
2020-01-09,65859,13.77,12.99,13.05,13.05,13.77
2020-01-08,43369,14.16,13.71,13.77,13.77,14.16
2020-01-07,49397,14.58,14.12,14.15,14.15,14.51
2020-01-06,42931,14.675,14.26,14.57,14.57,14.53
2020-01-03,56979,14.71,14.19,14.51,14.51,14.35
2020-01-02,59626,15.17,14.6,14.62,14.62,15.17
