date,volume,high,low,adj_close,close,open
2020-01-31,11233,54.45,54.3929,54.45,54.45,54.43
2020-01-30,11807,54.4131,54.25,54.33,54.33,54.4131
2020-01-29,8354,54.335,54.2039,54.265,54.265,54.335
2020-01-28,11865,54.27,54.1,54.18,54.18,54.27
2020-01-27,11390,54.29,54.0901,54.195,54.195,54.28
2020-01-24,10230,54.1499,54.07,54.09,54.09,54.123
2020-01-23,6161,54.13,53.93,54.015,54.015,54.08
2020-01-22,1860,53.9884,53.919,53.96,53.96,53.94
2020-01-21,27685,54.14,53.97,54.0714,54.0714,54.1
2020-01-17,9305,54.05,53.75,53.9244,53.9244,53.92
2020-01-16,4688,54.05,53.9578,53.985,53.985,54.04
2020-01-15,11619,54.025,53.8939,53.95,53.95,54
2020-01-14,4345,53.9499,53.86,53.89,53.89,53.86
2020-01-13,2634,53.88,53.8134,53.815,53.815,53.88
2020-01-10,9258,53.865,53.7,53.79,53.79,53.7
2020-01-09,10023,53.84,53.67,53.755,53.755,53.81
2020-01-08,2873,53.75,53.707,53.725,53.725,53.75
2020-01-07,7256,53.76,53.685,53.685,53.685,53.76
2020-01-06,4664,53.69,53.6593,53.67,53.67,53.621
2020-01-03,20569,53.67,53.48,53.595,53.595,53.5139
2020-01-02,7103,53.52,53.4,53.465,53.465,53.41
