date,volume,high,low,adj_close,close,open
2020-01-31,6452,25.42,24.34,24.34,24.34,25.42
2020-01-30,9682,25.59,25.03,25.59,25.59,25.39
2020-01-29,16267,25.82,25.1,25.74,25.74,25.75
2020-01-28,9039,25.89,25.24,25.7,25.7,25.3472
2020-01-27,33285,25.93,25.0378,25.06,25.06,25.18
2020-01-24,27908,25.99,25.75,25.75,25.75,25.77
2020-01-23,8836,25.99,25.6,25.84,25.84,25.85
2020-01-22,4938,25.73,25.62,25.62,25.62,25.73
2020-01-21,8848,25.89,25.6627,25.88,25.88,25.7883
2020-01-17,4975,26.02,25.88,25.88,25.88,26.02
2020-01-16,5110,25.97,25.54,25.88,25.88,25.97
2020-01-15,6102,25.82,25.6201,25.82,25.82,25.64
2020-01-14,7367,25.96,25.5,25.52,25.52,25.83
2020-01-13,15469,26.1,25.4222,25.84,25.84,26.1
2020-01-10,18201,26.07,25.615,25.81,25.81,26.07
2020-01-09,4930,26.36,25.7969,26.28,26.28,26.36
2020-01-08,10655,26.49,26,26.14,26.14,26.49
2020-01-07,10940,26.94,26.34,26.34,26.34,26.94
2020-01-06,9174,27.11,26.5486,26.91,26.91,26.58
2020-01-03,13546,27.18,26.5923,26.62,26.62,27.18
2020-01-02,8549,27.39,27.05,27.2,27.2,27.1
