date,volume,high,low,adj_close,close,open
2020-01-31,210916,25.32,25,25.1287,25.1287,25.31
2020-01-30,135485,25.69,25.3201,25.6843,25.6843,25.58
2020-01-29,86217,26.09,25.9301,25.96,25.96,26.09
2020-01-28,150323,25.94,25.684,25.94,25.94,25.86
2020-01-27,188682,25.83,25.5,25.67,25.67,25.69
2020-01-24,158163,26.86,26.4921,26.6,26.6,26.86
2020-01-23,191253,26.86,26.5,26.83,26.83,26.67
2020-01-22,148407,27.1,26.98,27.08,27.08,27.1
2020-01-21,319983,27.07,26.84,26.84,26.84,27.07
2020-01-17,517508,27.59,27.37,27.59,27.59,27.45
2020-01-16,164126,27.3196,27.17,27.26,27.26,27.21
2020-01-15,168712,27.23,27.07,27.08,27.08,27.22
2020-01-14,130356,27.33,27.2101,27.3043,27.3043,27.29
2020-01-13,148729,27.3252,27.07,27.3184,27.3184,27.11
2020-01-10,142194,27.15,26.98,26.99,26.99,27.07
2020-01-09,204594,26.9356,26.8224,26.86,26.86,26.92
2020-01-08,145385,26.8196,26.4374,26.59,26.59,26.51
2020-01-07,582514,26.5297,26.39,26.49,26.49,26.48
2020-01-06,151080,26.62,26.469,26.55,26.55,26.49
2020-01-03,214830,26.75,26.62,26.62,26.62,26.64
2020-01-02,799945,27,26.74,27,27,26.74
