date,volume,high,low,adj_close,close,open
2020-01-31,558145,24.82,23.955,24.04,24.04,24.78
2020-01-30,310690,25.01,24.33,24.99,24.99,24.45
2020-01-29,305230,25.09,24.54,24.62,24.62,24.9
2020-01-28,228364,25.03,24.79,24.9,24.9,24.93
2020-01-27,256239,24.99,24.03,24.85,24.85,24.4
2020-01-24,330467,25.6411,24.47,24.77,24.77,25.33
2020-01-23,433427,24.92,24.42,24.845,24.845,24.75
2020-01-22,340456,24.97,24.63,24.73,24.73,24.97
2020-01-21,179676,25.255,24.815,24.84,24.84,25.23
2020-01-17,285969,25.63,25.2892,25.39,25.39,25.54
2020-01-16,257850,25.365,25.04,25.23,25.23,25.04
2020-01-15,204929,24.94,24.69,24.835,24.835,24.83
2020-01-14,253038,25.12,24.76,24.98,24.98,24.94
2020-01-13,146241,24.96,24.62,24.945,24.945,24.76
2020-01-10,170427,24.95,24.65,24.76,24.76,24.88
2020-01-09,156719,25.26,24.89,24.97,24.97,25.19
2020-01-08,232872,25.15,24.84,25.045,25.045,24.87
2020-01-07,184911,25.51,24.835,24.89,24.89,25.17
2020-01-06,263906,25.42,25.12,25.35,25.35,25.35
2020-01-03,277988,25.555,25.07,25.5,25.5,25.21
2020-01-02,286914,25.6,25.28,25.52,25.52,25.6
