date,volume,high,low,adj_close,close,open
2020-01-31,3406,19.24,18,18,18,19.24
2020-01-30,434,19.34,19.29,19.34,19.34,19.34
2020-01-29,1178,19.68,19.5,19.5,19.5,19.68
2020-01-28,1293,19.91,19.61,19.91,19.91,19.61
2020-01-27,1068,19.6,19.48,19.48,19.48,19.6
2020-01-24,3029,19.945,19.64,19.64,19.64,19.81
2020-01-23,7766,20.4406,19.81,19.86,19.86,20.59
2020-01-22,3421,20.5,20.15,20.36,20.36,20.4
2020-01-21,5476,21.165,20.08,20.08,20.08,21.165
2020-01-17,5895,21.82,20.98,20.98,20.98,21.82
2020-01-16,3584,21.8,21.25,21.68,21.68,21.25
2020-01-15,10387,21.93,21.168,21.25,21.25,21.93
2020-01-14,4188,21.97,21.59,21.59,21.59,22.01
2020-01-13,5589,22.13,21.87,22.08,22.08,22.07
2020-01-10,3005,22.02,21.75,21.87,21.87,21.9432
2020-01-09,4783,22.155,21.76,22.11,22.11,22.155
2020-01-08,3215,21.9306,21.73,21.87,21.87,21.73
2020-01-07,1533,21.79,21.75,21.75,21.75,21.75
2020-01-06,9741,22.08,21.71,21.71,21.71,21.75
2020-01-03,4601,22.11,21.75,21.75,21.75,22.02
2020-01-02,2624,22.35,21.92,22.17,22.17,21.93
