date,volume,high,low,adj_close,close,open
2020-01-31,1031663,117,112.21,113.22,113.22,117
2020-01-30,804584,118.63,116.54,117.31,117.31,117.43
2020-01-29,712917,119.17,116.575,118.66,118.66,117.99
2020-01-28,495233,118.6,116.34,117.46,117.46,116.7
2020-01-27,845573,118.44,115.74,116.22,116.22,116.58
2020-01-24,829173,119.06,115.494,118.75,118.75,115.78
2020-01-23,488302,116.97,114.77,115.61,115.61,115.52
2020-01-22,735199,118.57,115.43,115.65,115.65,118.18
2020-01-21,886051,117.86,115.33,117.58,117.58,115.5
2020-01-17,1006957,117.74,115.36,116.05,116.05,116.59
2020-01-16,1788693,116.965,113.42,116.6,116.6,113.81
2020-01-15,1967642,114.79,111.94,113.1,113.1,113.17
2020-01-14,4613986,115.23,109.4,114.26,114.26,109.4
2020-01-13,1.666897e+07,108.11,95.52,107.46,107.46,96.845
2020-01-10,1100015,124.83,120.73,121.23,121.23,124.83
2020-01-09,1186022,124.64,121.82,124.48,124.48,122.66
2020-01-08,1524658,124.37,121.75,122.9,122.9,121.75
2020-01-07,1829036,124.71,120.85,121.61,121.61,124.03
2020-01-06,2129621,125.93,121.087,123.8,123.8,125.93
2020-01-03,555621,128.52,125.76,127.67,127.67,126.41
2020-01-02,979675,128.85,125.43,127.65,127.65,128.85
