date,volume,high,low,adj_close,close,open
2020-01-31,8011,48.8,48.38,48.46,48.46,48.8
2020-01-30,43514,49.43,48.9131,49.25,49.25,48.99
2020-01-29,7155,49.8478,49.47,49.47,49.47,49.7166
2020-01-28,6279,49.83,49.55,49.77,49.77,49.55
2020-01-27,6699,49.72,49.28,49.28,49.28,49.3311
2020-01-24,5394,50.74,50.3452,50.3972,50.3972,50.627
2020-01-23,3106,50.87,50.6322,50.77,50.77,50.66
2020-01-22,10512,50.8675,50.64,50.7129,50.7129,50.83
2020-01-21,2307,50.71,50.53,50.5931,50.5931,50.7
2020-01-17,7600,50.81,50.52,50.715,50.715,50.575
2020-01-16,1807,50.8343,50.62,50.7956,50.7956,50.625
2020-01-15,4525,50.8139,50.65,50.75,50.75,50.7294
2020-01-14,9736,50.8828,50.6888,50.865,50.865,50.75
2020-01-13,4118,51.11,50.6535,50.985,50.985,50.74
2020-01-10,11619,51.04,50.65,50.74,50.74,51
2020-01-09,6749,51.2654,51.06,51.2374,51.2374,51.08
2020-01-08,8920,51.1075,50.71,50.9794,50.9794,50.8658
2020-01-07,37429,51.11,50.81,50.843,50.843,51.05
2020-01-06,17802,50.88,50.61,50.81,50.81,50.78
2020-01-03,26270,50.91,50.5,50.6018,50.6018,50.5
2020-01-02,79340,51.277,50.97,51.27,51.27,51.14
