date,volume,high,low,adj_close,close,open
2020-01-31,447783,3.98,3.76,3.84,3.84,3.9
2020-01-30,407609,4.08,3.86,3.93,3.93,4.02
2020-01-29,335291,4.19,4.04,4.05,4.05,4.11
2020-01-28,531320,4.2399,3.96,4.11,4.11,4.19
2020-01-27,822192,4.195,3.72,4.17,4.17,3.78
2020-01-24,629304,4.205,3.84,3.95,3.95,4.19
2020-01-23,614251,4.35,4.155,4.18,4.18,4.35
2020-01-22,678910,4.415,4.28,4.35,4.35,4.3
2020-01-21,1673324,4.44,4.15,4.3,4.3,4.21
2020-01-17,1805203,4.31,3.88,4.22,4.22,3.95
2020-01-16,1194451,3.95,3.79,3.92,3.92,3.81
2020-01-15,835082,4.05,3.6953,3.77,3.77,4
2020-01-14,1962443,4.1,3.6373,3.98,3.98,3.88
2020-01-13,752842,3.555,3.42,3.54,3.54,3.48
2020-01-10,591941,3.53,3.375,3.45,3.45,3.4
2020-01-09,490811,3.56,3.395,3.41,3.41,3.52
2020-01-08,627867,3.515,3.35,3.48,3.48,3.44
2020-01-07,417393,3.46,3.22,3.44,3.44,3.31
2020-01-06,1081302,3.36,3.03,3.34,3.34,3.23
2020-01-03,682380,3.475,3.29,3.32,3.32,3.41
2020-01-02,423665,3.51,3.375,3.49,3.49,3.51
