date,volume,high,low,adj_close,close,open
2020-01-31,56539,23.06,21.98,22.06,22.06,22.89
2020-01-30,42511,23.22,22.47,23.1,23.1,22.56
2020-01-29,60999,23.2,22.64,22.71,22.71,23.18
2020-01-28,20199,23.3,23.04,23.13,23.13,23.29
2020-01-27,16422,23.46,23.17,23.27,23.27,23.17
2020-01-24,27824,23.65,23.36,23.44,23.44,23.63
2020-01-23,50591,23.74,23.43,23.7,23.7,23.54
2020-01-22,25225,23.75,23.66,23.72,23.72,23.75
2020-01-21,32831,24.01,23.7,23.75,23.75,23.84
2020-01-17,38162,24.23,23.84,23.88,23.88,24.23
2020-01-16,87274,24.12,23.95,24.03,24.03,23.98
2020-01-15,26998,23.97,23.65,23.83,23.83,23.69
2020-01-14,24104,24.08,23.83,23.85,23.85,23.97
2020-01-13,25302,23.97,23.61,23.96,23.96,23.73
2020-01-10,22890,23.88,23.56,23.645,23.645,23.81
2020-01-09,19234,24.07,23.84,23.89,23.89,24.01
2020-01-08,20151,24.14,23.86,24.04,24.04,23.86
2020-01-07,25041,24.2,23.71,23.78,23.78,24.13
2020-01-06,60602,24.39,23.89,24.31,24.31,24.37
2020-01-03,38983,24.82,24.39,24.7,24.7,24.57
2020-01-02,47065,25.28,24.62,24.81,24.81,25.28
