date,volume,high,low,adj_close,close,open
2020-01-31,44939,41.99,40.98,41.37,41.37,41.99
2020-01-30,37513,42.31,41.56,42.18,42.18,42.08
2020-01-29,46452,43.02,42.13,42.46,42.46,42.53
2020-01-28,34986,42.36,41.545,42.32,42.32,41.78
2020-01-27,21904,41.975,41.28,41.62,41.62,41.28
2020-01-24,46632,43.02,41.825,42.08,42.08,43.02
2020-01-23,37669,43.09,42.24,42.91,42.91,42.87
2020-01-22,42007,43.1,42.475,42.98,42.98,42.54
2020-01-21,47507,42.87,42.37,42.5,42.5,42.87
2020-01-17,72732,43.89,42.785,43.05,43.05,43.89
2020-01-16,45382,44.35,43.57,43.58,43.58,43.78
2020-01-15,60733,44.145,43.38,43.57,43.57,43.67
2020-01-14,55813,44.23,43.12,43.82,43.82,43.12
2020-01-13,46561,43.53,42.61,43.34,43.34,42.63
2020-01-10,35503,42.8,42.235,42.68,42.68,42.62
2020-01-09,65082,43.4,42.46,42.55,42.55,42.76
2020-01-08,107185,42.94,42.35,42.62,42.62,42.62
2020-01-07,85326,42.86,42.0402,42.58,42.58,42.67
2020-01-06,64572,42.95,41.55,42.8,42.8,41.74
2020-01-03,73923,42.39,41.64,42.11,42.11,41.8
2020-01-02,49836,42.49,41.2,42.4,42.4,41.92
