date,volume,high,low,adj_close,close,open
2020-01-31,286,75.46,75.13,75.13,75.13,69.8829
2020-01-30,21,74.6,71.05,74.6,74.6,69.8829
2020-01-29,344,72.9,72.85,72.85,72.85,69.8829
2020-01-28,445,76.96,69.8829,76.96,76.96,69.8829
2020-01-27,579,72.99,72.99,72.99,72.99,72.99
2020-01-24,121,77,76,76,76,75.14
2020-01-22,1511,75.2316,73.6,73.65,73.65,75.14
2020-01-21,345,74.26,72.52,72.52,72.52,73.1
2020-01-17,205,75.81,72.2,75.81,75.81,74.9765
2020-01-16,69,77.85,74.98,77.85,77.85,74.9765
2020-01-15,97,76,74.59,76,76,74.9765
2020-01-14,416,76.06,75.1,75.1,75.1,74.9765
2020-01-13,323,74.9765,74.9765,74.9765,74.9765,74.9765
2020-01-10,237,70.55,70.55,70.55,70.55,63.05
2020-01-09,205,69.8,69.68,69.8,69.8,63.05
2020-01-08,351,72.5,69.83,69.83,69.83,63.05
2020-01-07,48,70,69.1,70,70,63.05
2020-01-06,223,63.06,63.05,63.06,63.06,63.05
2020-01-02,278,71.11,68.1,68.1,68.1,68.1
