date,volume,high,low,adj_close,close,open
2020-01-31,4782215,37.19,36.47,37.08,37.08,37
2020-01-30,2791105,37.07,36.09,37.03,37.03,36.17
2020-01-29,2458258,37.215,36.425,36.58,36.58,36.95
2020-01-28,2972426,37.41,36.75,37.14,37.14,37.35
2020-01-27,9030089,37.015,36.19,36.88,36.88,36.44
2020-01-24,8917141,37.46,36.18,36.61,36.61,37.3
2020-01-23,5768379,39.02,37.34,37.49,37.49,38.77
2020-01-22,2275039,39.305,38.855,39.08,39.08,39.15
2020-01-21,3748880,39.38,38.84,39.1,39.1,39
2020-01-17,4579034,39.735,39.16,39.34,39.34,39.28
2020-01-16,6283911,39.14,37.65,39.11,39.11,37.71
2020-01-15,6112888,37.6,37.17,37.48,37.48,37.36
2020-01-14,4061971,37.505,36.76,37.26,37.26,36.79
2020-01-13,2378682,37.15,36.47,36.99,36.99,36.72
2020-01-10,2328822,37.24,36.64,36.72,36.72,37.12
2020-01-09,3390236,37.365,36.82,37.18,37.18,37.18
2020-01-08,3090229,37.51,37.04,37.11,37.11,37.13
2020-01-07,3170482,37.225,36.4,37.07,37.07,36.56
2020-01-06,2193894,36.755,36.37,36.57,36.57,36.66
2020-01-03,2252969,36.97,36.62,36.665,36.665,36.69
2020-01-02,2445321,37.47,36.575,37.07,37.07,37.41
