date,volume,high,low,adj_close,close,open
2020-01-31,14,21.91,21.739,21.739,21.739,21.8648
2020-01-30,200,21.96,21.8648,21.94,21.94,21.8648
2020-01-29,220,22.06,22.0178,22.0178,22.0178,22.06
2020-01-27,8,21.72,21.662,21.662,21.662,22.23
2020-01-23,1930,22.23,22.08,22.1574,22.1574,22.23
2020-01-21,191,22.125,22.1,22.125,22.125,22.1
2020-01-17,210,22.2,22.18,22.18,22.18,22.197
2020-01-16,125,22.1,22.088,22.1,22.1,22.088
2020-01-15,256,22.065,21.98,22.065,22.065,22.06
2020-01-13,15,21.97,21.9377,21.9377,21.9377,21.98
2020-01-10,1786,22.03,21.86,21.885,21.885,21.98
2020-01-08,6,21.7203,21.68,21.7203,21.7203,21.74
2020-01-07,258,21.74,21.725,21.725,21.725,21.74
2020-01-06,204,21.8,21.7936,21.8,21.8,21.7936
2020-01-03,212,21.85,21.7962,21.7962,21.7962,21.85
2020-01-02,131,21.99,21.98,21.9856,21.9856,21.98
