date,volume,high,low,adj_close,close,open
2020-01-31,5018350,3.4305,3,3.19,3.19,3.43
2020-01-30,323953,3.51,3.43,3.46,3.46,3.5
2020-01-29,585009,3.6358,3.5,3.51,3.51,3.6
2020-01-28,307637,3.69,3.58,3.595,3.595,3.58
2020-01-27,176672,3.735,3.7,3.7,3.7,3.72
2020-01-24,111053,3.84,3.76,3.76,3.76,3.84
2020-01-23,110451,3.83,3.81,3.82,3.82,3.82
2020-01-22,92441,3.9,3.81,3.84,3.84,3.9
2020-01-21,164652,3.905,3.81,3.89,3.89,3.84
2020-01-17,118709,3.93,3.83,3.84,3.84,3.93
2020-01-16,127981,3.9365,3.89,3.89,3.89,3.89
2020-01-15,164664,3.91,3.85,3.87,3.87,3.88
2020-01-14,263684,3.97,3.86,3.89,3.89,3.9
2020-01-13,448092,3.96,3.86,3.91,3.91,3.92
2020-01-10,324189,3.97,3.87,3.9,3.9,3.97
2020-01-09,214670,4.08,3.96,3.975,3.975,4.08
2020-01-08,238782,4.09,3.99,4.08,4.08,4.01
2020-01-07,148806,4.1,3.99,4.03,4.03,4.09
2020-01-06,348225,4.19,4.09,4.11,4.11,4.09
2020-01-03,217184,4.15,4.06,4.13,4.13,4.07
2020-01-02,321689,4.22,4.04,4.1,4.1,4.18
