date,volume,high,low,adj_close,close,open
2020-01-31,84599,15.38,15.11,15.19,15.19,15.11
2020-01-30,26328,15.21,15.1,15.18,15.18,15.13
2020-01-29,100268,15.49,15.27,15.28,15.28,15.45
2020-01-28,49336,15.4,15.28,15.36,15.36,15.29
2020-01-27,83836,15.19,14.96,15.12,15.12,15.19
2020-01-24,54921,15.4,15.27,15.29,15.29,15.31
2020-01-23,110565,15.44,15.2,15.27,15.27,15.4
2020-01-22,122089,15.49,15.2,15.47,15.47,15.33
2020-01-21,165429,15.45,14.88,15.31,15.31,14.88
2020-01-17,83530,14.98,14.84,14.98,14.98,14.87
2020-01-16,67478,14.89,14.69,14.84,14.84,14.79
2020-01-15,78673,14.89,14.67,14.69,14.69,14.87
2020-01-13,70815,14.95,14.83,14.94,14.94,14.87
2020-01-10,34047,14.8,14.67,14.8,14.8,14.68
2020-01-09,36232,14.67,14.54,14.63,14.63,14.54
2020-01-08,36451,14.5,14.41,14.42,14.42,14.49
2020-01-07,23891,14.48,14.39,14.45,14.45,14.43
2020-01-06,19444,14.51,14.44,14.49,14.49,14.51
2020-01-03,22305,14.62,14.52,14.61,14.61,14.53
2020-01-02,22261,14.76,14.69,14.69,14.69,14.72
