date,volume,high,low,adj_close,close,open
2020-01-31,1019,9.75,9.65,9.65,9.65,9.74
2020-01-30,20,9.65,9.62,9.62,9.62,9.8838
2020-01-29,2,10.1,9.6,10.1,10.1,9.8838
2020-01-28,4118,9.835,9.6,9.835,9.835,9.8838
2020-01-27,253,10.19,9.99,9.99,9.99,10.19
2020-01-24,302,10.3,10.2,10.2,10.2,10.3
2020-01-23,618,9.5,9.5,9.5,9.5,9.5
2020-01-22,1115,9.5,9.475,9.5,9.5,9.4935
2020-01-21,1167,9.5,9.43,9.5,9.5,9.4899
2020-01-17,200,9.43,9.43,9.43,9.43,9.43
2020-01-15,572,9.44,9.41,9.41,9.41,9.44
2020-01-13,956,9.45,9.44,9.44,9.44,9.45
2020-01-09,3243,9.4402,9.44,9.44,9.44,9.4674
2020-01-08,170,9.68,9.45,9.45,9.45,9.4873
2020-01-06,1160,9.47,9.44,9.44,9.44,9.4873
2020-01-03,5614,9.56,9.45,9.45,9.45,9.56
2020-01-02,1928,9.4978,9.4978,9.4978,9.4978,9.4978
