date,volume,high,low,adj_close,close,open
2020-01-31,814,10.255,10.255,10.255,10.255,10.255
2020-01-30,17368,10.27,10.23,10.23,10.23,10.27
2020-01-29,324,10.26,10.26,10.26,10.26,10.26
2020-01-24,167,10.22,10.21,10.21,10.21,10.21
2020-01-23,1575,10.25,10.22,10.24,10.24,10.22
2020-01-21,2025,10.23,10.2014,10.23,10.23,10.2014
2020-01-17,21054,10.27,10.2,10.2,10.2,10.24
2020-01-16,3359,10.25,10.18,10.23,10.23,10.18
2020-01-15,108,10.25,10.22,10.25,10.25,10.25
2020-01-14,25567,10.23,10.2198,10.23,10.23,10.23
2020-01-13,90597,10.2,10.2,10.2,10.2,10.2
2020-01-10,4213,10.195,10.195,10.195,10.195,10.195
2020-01-09,109,10.22,10.18,10.22,10.22,10.2
2020-01-08,4616,10.2,10.185,10.19,10.19,10.185
2020-01-07,274150,10.19,10.15,10.16,10.16,10.15
2020-01-06,6,10.16,10.16,10.16,10.16,10.18
2020-01-03,65186,10.18,10.13,10.13,10.13,10.18
2020-01-02,1358,10.19,10.14,10.16,10.16,10.165
