date,volume,high,low,adj_close,close,open
2020-01-31,934902,118.512,114.57,115.36,115.36,118.51
2020-01-30,785786,118.39,116.05,118.33,118.33,116.41
2020-01-29,560681,118.77,117.09,117.27,117.27,118
2020-01-28,846179,117.72,115,117.54,117.54,115
2020-01-27,1021298,115.8,112.06,114.43,114.43,114.88
2020-01-24,757707,120.28,117.36,117.99,117.99,119.51
2020-01-23,823960,119.52,117.24,119.07,119.07,117.75
2020-01-22,955657,120.43,117.7,117.82,117.82,120
2020-01-21,606731,118.31,117,117.64,117.64,117.77
2020-01-17,757549,119.5,116.96,117.49,117.49,119.31
2020-01-16,783141,119.23,117.09,119.09,119.09,117.4
2020-01-15,749968,117.74,116.609,117.05,117.05,116.96
2020-01-14,754331,117.67,116.32,116.72,116.72,117.52
2020-01-13,745010,116.75,114.84,116.69,116.69,116.2
2020-01-10,586587,115.3,113.86,114.32,114.32,114.85
2020-01-09,992997,115.09,113.438,114.48,114.48,115.01
2020-01-08,1355016,114.4,111.86,113.67,113.67,111.95
2020-01-07,728125,112.509,111.1,111.89,111.89,112.33
2020-01-06,1398756,112.36,109.525,112,112,110.61
2020-01-03,1163552,111.53,108.23,111.21,111.21,108.42
2020-01-02,1070234,110.28,107.375,109.68,109.68,107.6
