date,volume,high,low,adj_close,close,open
2020-01-31,85668,11.32,11.01,11.11,11.11,11.18
2020-01-30,640447,12.2,11.11,11.11,11.11,11.28
2020-01-29,123463,11.6,10.98,11.56,11.56,10.98
2020-01-28,65833,11.06,10.84,10.96,10.96,10.86
2020-01-27,124600,10.86,10.5,10.83,10.83,10.68
2020-01-24,107899,11.46,10.88,11.05,11.05,11.22
2020-01-23,131433,11.46,11.13,11.2,11.2,11.46
2020-01-22,190545,12.075,11.57,11.71,11.71,11.72
2020-01-21,221686,11.99,11.46,11.5,11.5,11.67
2020-01-17,457367,12.8,11.8627,12.18,12.18,12.13
2020-01-16,645235,12.12,11.43,12.01,12.01,11.5
2020-01-15,253341,11.33,10.64,11.25,11.25,10.64
2020-01-14,78829,10.785,10.4673,10.63,10.63,10.56
2020-01-13,230402,10.57,10.36,10.57,10.57,10.4
2020-01-10,86129,10.55,10.31,10.34,10.34,10.5
2020-01-09,94147,10.7,10.58,10.58,10.58,10.58
2020-01-08,55606,10.5329,10.36,10.48,10.48,10.4
2020-01-07,71067,10.48,10.37,10.41,10.41,10.37
2020-01-06,111298,10.46,10.2,10.35,10.35,10.26
2020-01-03,97483,10.7,10.16,10.17,10.17,10.48
2020-01-02,242438,10.8774,10.4327,10.68,10.68,10.47
