date,volume,high,low,adj_close,close,open
2020-01-31,2182,29.625,29.16,29.19,29.19,29.3897
2020-01-30,2491,29.93,29.25,29.31,29.31,29.6348
2020-01-29,643,29.65,29.18,29.65,29.65,29.37
2020-01-28,420,29.36,29.15,29.36,29.36,29.36
2020-01-27,1955,29.2,29.16,29.16,29.16,29.16
2020-01-24,1640,29.47,29.15,29.15,29.15,29.47
2020-01-23,1607,29.68,29.27,29.27,29.27,29.6111
2020-01-22,1936,29.5,29.3,29.32,29.32,29.5
2020-01-21,717,29.49,29.45,29.49,29.49,29.49
2020-01-17,2123,29.45,29.15,29.15,29.15,29.45
2020-01-16,882,29.29,29.15,29.15,29.15,29.15
2020-01-15,2119,29.5,29.0541,29.08,29.08,29.27
2020-01-14,1196,29.4,29.02,29.02,29.02,29.02
2020-01-13,2947,29.43,28.94,29.43,29.43,28.94
2020-01-10,1354,29.48,28.91,28.98,28.98,29.48
2020-01-09,430,29.2,28.9,29.2,29.2,28.9978
2020-01-08,108,29.21,29.05,29.05,29.05,29.05
2020-01-07,4108,28.89,28.69,28.69,28.69,28.89
2020-01-06,2012,29.3,29.19,29.19,29.19,29.3
2020-01-03,483,28.91,28.84,28.91,28.91,29.115
2020-01-02,476,29.29,28.6926,29.29,29.29,28.6926
