date,volume,high,low,adj_close,close,open
2020-01-31,797329,73.91,71.01,73.18,73.18,71.16
2020-01-30,415260,71.16,70.03,71.01,71.01,70.15
2020-01-29,268221,72.37,70.6,70.7,70.7,72.36
2020-01-28,455862,72.62,72.03,72.08,72.08,72.25
2020-01-27,296515,72.62,71.19,72.11,72.11,71.35
2020-01-24,226380,73.18,72.1,72.24,72.24,73.03
2020-01-23,424016,73.47,72.675,72.86,72.86,72.96
2020-01-22,636738,73.74,73,73.23,73.23,73
2020-01-21,316139,73.53,72.11,72.99,72.99,72.95
2020-01-17,300831,73.58,72.69,72.79,72.79,73.58
2020-01-16,368085,73.75,72.8,73.12,73.12,73.68
2020-01-15,430317,73.9,73.1,73.5,73.5,73.1
2020-01-14,299257,73.51,72.74,73.15,73.15,73.49
2020-01-13,263140,73.76,73.14,73.43,73.43,73.52
2020-01-10,254304,74.11,72.97,73.2,73.2,74.11
2020-01-09,368725,73.92,72.64,73.73,73.73,73.11
2020-01-08,393972,73.59,72.27,72.79,72.79,72.33
2020-01-07,273864,72.74,72.105,72.45,72.45,72.33
2020-01-06,350643,72.36,71.54,72.35,72.35,71.83
2020-01-03,316781,72.02,70.24,71.97,71.97,70.37
2020-01-02,336637,71.17,70.07,71.09,71.09,70.95
