date,volume,high,low,adj_close,close,open
2020-01-31,78050,10.6,10.6,10.6,10.6,10.65
2020-01-28,114700,10.64,10.64,10.64,10.64,10.64
2020-01-27,6900,10.65,10.65,10.65,10.65,10.64
2020-01-24,2903,10.65,10.5617,10.65,10.65,10.5617
2020-01-21,100,10.58,10.58,10.58,10.58,10.58
2020-01-15,1310,10.8056,10.56,10.59,10.59,10.8056
2020-01-14,1194,10.5604,10.5604,10.56,10.56,10.5739
2020-01-07,100,10.56,10.56,10.59,10.59,10.56
2020-01-06,304903,10.59,10.55,10.56,10.56,10.55
2020-01-02,252100,10.57,10.53,10.53,10.53,10.56
