date,volume,high,low,adj_close,close,open
2020-01-31,103799,14.28,13.72,14.24,14.24,14.09
2020-01-30,86565,14.18,14.02,14.04,14.04,14.18
2020-01-29,107688,14.78,14.52,14.67,14.67,14.68
2020-01-28,68281,14.7,14.6,14.65,14.65,14.7
2020-01-27,78949,14.77,14.65,14.74,14.74,14.65
2020-01-24,49463,14.74,14.6,14.7,14.7,14.73
2020-01-23,53524,14.75,14.62,14.62,14.62,14.75
2020-01-22,64819,14.78,14.7,14.78,14.78,14.77
2020-01-21,69538,14.81,14.61,14.72,14.72,14.72
2020-01-17,60299,14.79,14.55,14.7,14.7,14.65
2020-01-16,40599,14.71,14.6104,14.62,14.62,14.64
2020-01-15,19356,14.65,14.56,14.61,14.61,14.65
2020-01-14,53355,14.63,14.48,14.63,14.63,14.48
2020-01-13,31433,14.6,14.45,14.57,14.57,14.54
2020-01-10,28797,14.49,14.31,14.49,14.49,14.37
2020-01-09,31772,14.45,14.2701,14.41,14.41,14.43
2020-01-08,40750,14.42,14.21,14.41,14.41,14.36
2020-01-07,21622,14.455,14.37,14.42,14.42,14.45
2020-01-06,49243,14.45,14.35,14.44,14.44,14.45
2020-01-03,37874,14.3,13.95,14.28,14.28,14
2020-01-02,43326,14.125,13.8037,14,14,14.02
