date,volume,high,low,adj_close,close,open
2020-01-31,48284,1.501,1.41,1.44,1.44,1.5
2020-01-30,12386,1.63,1.4892,1.5,1.5,1.581
2020-01-29,9157,1.67,1.53,1.65,1.65,1.65
2020-01-28,1278,1.66,1.5993,1.66,1.66,1.6
2020-01-27,27938,1.69,1.55,1.55,1.55,1.67
2020-01-24,14727,1.79,1.5556,1.645,1.645,1.706
2020-01-23,12053,1.79,1.68,1.73,1.73,1.69
2020-01-22,29228,1.78,1.7,1.74,1.74,1.7304
2020-01-21,19079,1.76,1.6837,1.69,1.69,1.71
2020-01-17,31995,1.7827,1.7,1.74,1.74,1.77
2020-01-16,25151,1.7466,1.61,1.745,1.745,1.61
2020-01-15,31190,1.7,1.59,1.66,1.66,1.59
2020-01-14,9995,1.6,1.56,1.59,1.59,1.56
2020-01-13,124246,1.59,1.4,1.53,1.53,1.55
2020-01-10,32996,1.61,1.55,1.6,1.6,1.6
2020-01-09,15695,1.628,1.54,1.6,1.6,1.6
2020-01-08,50247,1.62,1.56,1.58,1.58,1.61
2020-01-07,49597,1.64,1.59,1.6,1.6,1.63
2020-01-06,68026,1.63,1.55,1.63,1.63,1.59
2020-01-03,45938,1.75,1.58,1.58,1.58,1.62
2020-01-02,30906,1.65,1.56,1.64,1.64,1.61
