date,volume,high,low,adj_close,close,open
2020-01-31,14025,12.88,12.55,12.63,12.63,12.88
2020-01-30,13695,12.99,12.72,12.84,12.84,12.98
2020-01-29,41416,13.0079,12.8457,12.98,12.98,12.93
2020-01-28,22262,12.85,12.72,12.85,12.85,12.83
2020-01-27,34803,12.8,12.56,12.72,12.72,12.66
2020-01-24,25995,12.74,12.6,12.66,12.66,12.68
2020-01-23,24493,12.99,12.6,12.6,12.6,12.75
2020-01-22,20283,12.75,12.59,12.75,12.75,12.61
2020-01-21,17331,12.6769,12.59,12.6,12.6,12.66
2020-01-17,79050,12.71,12.55,12.6,12.6,12.7
2020-01-16,212815,12.82,12.59,12.66,12.66,12.75
2020-01-15,29851,13,12.76,12.84,12.84,12.91
2020-01-14,24848,13.09,12.67,12.84,12.84,13.07
2020-01-13,10921,13.1,12.9515,13.07,13.07,13.05
2020-01-10,16011,13.31,12.8,12.86,12.86,13.28
2020-01-09,34621,13.3,12.85,13.3,13.3,12.95
2020-01-08,10905,12.933,12.75,12.81,12.81,12.87
2020-01-07,13010,13.23,12.84,12.92,12.92,13.23
2020-01-06,8794,13.28,13,13.17,13.17,13
2020-01-03,9100,13.11,12.92,13,13,13.08
2020-01-02,8781,13.28,13.0294,13.06,13.06,13.28
