date,volume,high,low,adj_close,close,open
2020-01-31,549865,26.092,25.33,25.6,25.6,25.88
2020-01-30,623991,26.1,25.56,26,26,25.95
2020-01-29,428405,26.62,26.01,26.1,26.1,26.32
2020-01-28,621217,26.545,26.14,26.25,26.25,26.34
2020-01-27,424988,26.87,25.84,26.21,26.21,25.97
2020-01-24,334150,26.4674,26.1,26.39,26.39,26.39
2020-01-23,742070,26.65,25.37,26.36,26.36,26.18
2020-01-22,402841,27.1912,26.585,26.92,26.92,26.93
2020-01-21,781164,27.21,26.5,26.91,26.91,26.92
2020-01-17,426117,27.36,26.99,27.01,27.01,27.36
2020-01-16,516101,27.3,26.825,27.165,27.165,26.99
2020-01-15,528889,26.95,26.35,26.8,26.8,26.35
2020-01-14,463575,26.55,24.2,26.5,26.5,24.539
2020-01-13,537020,26.36,25.64,25.82,25.82,25.97
2020-01-10,666829,25.97,25.33,25.92,25.92,25.49
2020-01-09,356287,25.7,25.07,25.57,25.57,25.29
2020-01-08,310034,25.365,24.97,25.2,25.2,25.21
2020-01-07,605630,25.44,24.9743,25.26,25.26,25.01
2020-01-06,544120,25.3,24.125,25.17,25.17,24.2
2020-01-03,439318,24.53,23.5,24.43,24.43,23.83
2020-01-02,416129,24.56,23.62,24.14,24.14,24.47
