date,volume,high,low,adj_close,close,open
2020-01-31,145624,65.6527,64.27,64.95,64.95,65.38
2020-01-30,132141,66.9904,64.34,65.46,65.46,65.37
2020-01-29,261000,66.239,64.78,65.88,65.88,66.07
2020-01-28,82567,66.5879,65.69,65.8,65.8,66.49
2020-01-27,101660,66.315,65.71,65.87,65.87,65.89
2020-01-24,76642,69.275,67.15,67.37,67.37,69.12
2020-01-23,86594,69.68,68.38,69.17,69.17,68.6
2020-01-22,92840,68.61,67.73,68.56,68.56,67.73
2020-01-21,106326,67.5,66.535,67.35,67.35,67.13
2020-01-17,107789,68.2056,66.87,67.23,67.23,67.84
2020-01-16,75722,67.345,65.58,67.23,67.23,65.58
2020-01-15,73454,65.17,64.12,64.96,64.96,64.12
2020-01-14,125792,64.89,63.39,64.045,64.045,63.8
2020-01-13,54501,63.98,62.21,63.97,63.97,62.36
2020-01-10,91269,62.36,61,62.07,62.07,61.66
2020-01-09,127101,62.89,61.29,61.42,61.42,62.59
2020-01-08,104188,62.68,61.57,62.15,62.15,61.68
2020-01-07,76550,61.7,60.26,61.56,61.56,60.37
2020-01-06,69703,60.5,59.06,60.5,60.5,59.59
2020-01-03,99939,60.635,58.99,60.09,60.09,59.52
2020-01-02,87853,60.38,58.695,60.35,60.35,60.11
