date,volume,high,low,adj_close,close,open
2020-01-31,903,20.91,20.64,20.91,20.91,21.19
2020-01-30,23,20.6,20.6,20.6,20.6,20.43
2020-01-28,2648,20.97,20.36,20.7,20.7,20.43
2020-01-27,9120,20.933,20.36,20.37,20.37,20.7
2020-01-24,308,20.84,20.75,20.75,20.75,20.8368
2020-01-23,2160,21.06,20.76,20.88,20.88,20.99
2020-01-22,6966,21.29,20.65,21.28,21.28,20.89
2020-01-21,3,20.8,20.735,20.8,20.8,20.703
2020-01-17,2867,20.9493,20.56,20.75,20.75,20.703
2020-01-16,1161,20.63,20.55,20.55,20.55,20.55
2020-01-15,943,20.76,20.61,20.68,20.68,20.76
2020-01-14,69,20.85,20.82,20.82,20.82,21
2020-01-09,324,21,21,21,21,21
2020-01-08,1511,21.23,21.1,21.2,21.2,21.36
2020-01-06,44,21.55,21.1,21.55,21.55,21.1
2020-01-03,225,21.1,21.1,21.1,21.1,21.1
2020-01-02,4888,21.76,20.9735,21.2575,21.2575,20.96
