date,volume,high,low,adj_close,close,open
2020-01-31,589206,19.5,19.04,19.12,19.12,19.34
2020-01-30,699678,19.56,19,19.54,19.54,19
2020-01-29,515317,19.53,19.11,19.13,19.13,19.32
2020-01-28,370442,19.44,19.27,19.3,19.3,19.4
2020-01-27,811279,19.485,19.02,19.25,19.25,19.11
2020-01-24,625247,19.81,19.35,19.49,19.49,19.81
2020-01-23,717732,19.875,19.56,19.81,19.81,19.79
2020-01-22,723216,20.025,19.74,19.96,19.96,20.01
2020-01-21,746079,20.35,19.87,19.91,19.91,20.31
2020-01-17,923979,20.8,20.39,20.43,20.43,20.7
2020-01-16,1734862,20.44,19.6,20.405,20.405,19.85
2020-01-15,683668,19.23,19.035,19.17,19.17,19.1
2020-01-14,608883,19.345,19.15,19.21,19.21,19.27
2020-01-13,479536,19.31,19.11,19.29,19.29,19.21
2020-01-10,334800,19.53,19.145,19.19,19.19,19.53
2020-01-09,582952,19.72,19.44,19.48,19.48,19.61
2020-01-08,653785,19.82,19.5,19.71,19.71,19.5
2020-01-07,903745,19.54,19.31,19.52,19.52,19.45
2020-01-06,525034,19.52,19.15,19.47,19.47,19.29
2020-01-03,538086,19.585,19.23,19.51,19.51,19.35
2020-01-02,523977,19.74,19.48,19.65,19.65,19.72
