date,volume,high,low,adj_close,close,open
2020-01-31,2574,6.98,6.9,6.9,6.9,6.9
2020-01-30,7112,6.9557,6.87,6.95,6.95,6.9
2020-01-27,3218,7,6.9,6.9,6.9,6.9
2020-01-24,482,6.9,6.9,6.9,6.9,6.9
2020-01-23,5564,6.9001,6.66,6.71,6.71,6.8217
2020-01-22,2658,6.85,6.8,6.8,6.8,6.8402
2020-01-21,2480,7,6.76,7,7,6.76
2020-01-17,1824,7,6.9202,7,7,6.9202
2020-01-15,1949,7.1,6.79,6.79,6.79,7
2020-01-13,7717,7.25,6.85,7.2,7.2,6.95
2020-01-10,226,6.95,6.65,6.95,6.95,6.65
2020-01-09,3679,6.9,6.75,6.77,6.77,6.9399
2020-01-08,7361,6.87,6.52,6.52,6.52,6.9
2020-01-07,485,6.95,6.91,6.95,6.95,6.905
2020-01-06,699,6.98,6.85,6.85,6.85,6.9
2020-01-03,50803,7.07,6.8,6.85,6.85,7.07
2020-01-02,302,7.07,7.0088,7.07,7.07,7.0088
