date,volume,high,low,adj_close,close,open
2020-01-31,435644,6.42,5.5,5.82,5.82,6.39
2020-01-30,90604,6.65,6.33,6.43,6.43,6.51
2020-01-29,69197,6.75,6.56,6.61,6.61,6.68
2020-01-28,98313,6.8205,6.54,6.66,6.66,6.66
2020-01-27,130456,6.96,6.6,6.62,6.62,6.96
2020-01-24,98587,7.05,6.74,7.02,7.02,6.96
2020-01-23,60905,7.13,6.86,6.99,6.99,7.13
2020-01-22,154930,7.25,7.01,7.16,7.16,7.03
2020-01-21,104977,7.07,6.96,7,7,7.01
2020-01-17,98092,7.22,7,7.06,7.06,7.17
2020-01-16,91855,7.31,7.03,7.16,7.16,7.31
2020-01-15,126103,7.5,7.2,7.23,7.23,7.31
2020-01-14,95529,7.42,7.01,7.31,7.31,7.1
2020-01-13,67757,7.27,7.04,7.15,7.15,7.09
2020-01-10,136903,7.225,6.9,7.01,7.01,6.9
2020-01-09,76382,7.12,6.83,6.9,6.9,7.09
2020-01-08,71185,7.18,6.8,7.09,7.09,6.86
2020-01-07,127495,6.95,6.5,6.8,6.8,6.95
2020-01-06,33575,7.18,6.94,6.94,6.94,7.14
2020-01-03,102107,7.23,6.94,7.15,7.15,7.21
2020-01-02,131970,7.87,7.26,7.3,7.3,7.82
