date,volume,high,low,adj_close,close,open
2020-01-31,62709,29.67,28.33,28.42,28.42,29.54
2020-01-30,56019,29.83,29.21,29.64,29.64,29.5
2020-01-29,42346,30.315,29.57,29.61,29.61,30.28
2020-01-28,66943,30.49,30.01,30.17,30.17,30.25
2020-01-27,64797,30.255,29.78,30.01,30.01,29.9
2020-01-24,66588,31.33,30.36,30.45,30.45,31.33
2020-01-23,58757,31.43,30.84,31.215,31.215,31.43
2020-01-22,57210,31.72,30.98,31.46,31.46,31.3
2020-01-21,36629,31.95,31.26,31.3,31.3,31.95
2020-01-17,59937,32.12,31.485,32.08,32.08,31.85
2020-01-16,86314,31.915,31.51,31.69,31.69,31.62
2020-01-15,64971,31.91,31.3,31.48,31.48,31.41
2020-01-14,95430,31.94,31.32,31.49,31.49,31.47
2020-01-13,146738,31.71,31.21,31.54,31.54,31.32
2020-01-10,61320,31.93,31.08,31.34,31.34,31.93
2020-01-09,60490,32.31,31.79,31.88,31.88,32.23
2020-01-08,68939,32.56,32,32.01,32.01,32.19
2020-01-07,55796,32.1,31.81,32.04,32.04,32.03
2020-01-06,79012,32.3,31.78,32.17,32.17,32.13
2020-01-03,56941,32.65,32.13,32.28,32.28,32.65
2020-01-02,80124,33.17,31.93,32.8,32.8,32.8
