date,volume,high,low,adj_close,close,open
2020-01-31,225717,53.71,52.36,52.87,52.87,53.71
2020-01-30,205873,54,53.06,53.89,53.89,53.6
2020-01-29,126518,54.22,53.515,54.07,54.07,53.94
2020-01-28,223767,54.08,53.58,53.65,53.65,53.88
2020-01-27,122393,54.2222,52.92,53.52,53.52,52.92
2020-01-24,120548,54.71,53.72,54.15,54.15,54.49
2020-01-23,129102,54.69,53.29,54.41,54.41,54.04
2020-01-22,285365,54.79,53.7831,54.12,54.12,54.65
2020-01-21,112087,55.08,54.06,54.555,54.555,54.81
2020-01-17,250626,55.08,54.01,55.03,55.03,55.05
2020-01-16,176882,55.04,53.49,55.04,55.04,53.95
2020-01-15,208496,55.215,53.34,53.42,53.42,54.8
2020-01-14,201898,54.78,53.77,54.51,54.51,53.93
2020-01-13,158446,54.31,53.065,53.77,53.77,54.02
2020-01-10,153789,52.89,52.1,52.33,52.33,52.77
2020-01-09,193328,53.46,52.42,52.72,52.72,53.26
2020-01-08,216845,53.57,52.2,53.19,53.19,52.2
2020-01-07,102942,52.52,52.08,52.225,52.225,52.43
2020-01-06,360236,52.6,51.02,52.52,52.52,52.27
2020-01-03,192159,52.46,51.595,52.32,52.32,51.85
2020-01-02,284542,53.07,51.61,52.49,52.49,52.77
